player_name,injury_status
David Walker,IR
Kevin Winston Jr.,Q
Dan Moore Jr.,Q
L'Jarius Sneed,Q
Tyjae Spears,IR
Anfernee Orji,IR
Treylon Burks,IR
Will Levis,IR
Jonathan Jones,Q
Dorance Armstrong,Q
Noah Brown,Q
Lucas Niang,IR
Sam Cosmi,OUT
Tyree Jackson,IR
